,tripReadId,partnerName,cargoTonnage,asset_type,loadedDate,source_region,destination_region,source,destination,goodType,asset_size,totalDistance,month,currency,amount
0,TP1092434,kristal transport,4.0,Flatbed,2020-09-23 23:51:23.478000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
1,TP1092433,kristal transport,4.0,Flatbed,2020-09-23 23:47:40.954000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
2,TP1092247,kristal transport,40.0,Flatbed,2020-09-23 06:42:22.101000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
3,TP1093081,Gbenguson International  Enterprise,30.0,Open,2020-09-26 13:17:52.578000+00:00,south west,south west,LAGOS,LAGOS,FMCG,30.0,0.0,September,NGN,102163.0
4,TP1093472,Gbenguson International  Enterprise,30.0,Open,2020-09-28 13:58:05.987000+00:00,south west,south west,LAGOS,LAGOS,FMCG,30.0,0.0,September,NGN,130830.0
5,TP1093078,Gbenguson International  Enterprise,30.0,Open,2020-09-26 13:07:49.804000+00:00,south west,south west,LAGOS,LAGOS,FMCG,30.0,0.0,September,NGN,102163.0
6,TP1093476,Gbenguson International  Enterprise,30.0,Open,2020-09-28 14:10:54.541000+00:00,south west,south west,LAGOS,LAGOS,FMCG,30.0,0.0,September,NGN,121533.0
7,TP1091442,SRO LOGISTICS LTD,20.0,Covered,2020-09-18 14:37:12.651000+00:00,south west,south south,OGUN,EDO,DRINKS,20.0,0.0,September,NGN,150000.0
8,TP1092251,Deomat Nigeria Limited,30.0,Open,2020-09-23 06:54:03.488000+00:00,south west,south south,LAGOS,DELTA,FMCG,30.0,0.0,September,NGN,301440.0
9,TP1091434,TUNSMAN GLOBAL RESOURCES ,30.0,Open,2020-09-18 13:44:28.658000+00:00,south west,south west,LAGOS,OGUN,MAIZE PELLETS,30.0,0.0,September,NGN,210000.0
10,TP1091819,TUNSMAN GLOBAL RESOURCES ,30.0,Open,2020-09-20 17:57:41.383000+00:00,south west,south west,LAGOS,OGUN,MAIZE PELLETS,30.0,0.0,September,NGN,270000.0
11,TP1090367,TUNSMAN GLOBAL RESOURCES ,30.0,Open,2020-09-13 16:48:33.527000+00:00,south west,south west,LAGOS,OGUN,AGROCHEMICAL PRODUCTS,30.0,0.0,September,NGN,210000.0
12,TP1092241,kristal transport,40.0,Flatbed,2020-09-23 06:32:00.180000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
13,TP1092235,kristal transport,40.0,Flatbed,2020-09-23 06:23:45.902000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
14,TP1092464,kristal transport,4.0,Flatbed,2020-09-24 06:48:42.478000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
15,TP1092462,kristal transport,4.0,Flatbed,2020-09-24 06:46:46.644000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
16,TP1092457,kristal transport,4.0,Flatbed,2020-09-24 06:14:45.567000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
17,TP1092394,DANKU MAIKA,30.0,Open,2020-09-23 18:43:02.897000+00:00,south west,north central,LAGOS,PLATEAU,SUGAR,30.0,0.0,September,NGN,545561.0
18,TP1092146,Zeeoking Nigeria Limited,4.0,Flatbed,2020-09-22 17:17:59.332000+00:00,south west,south west,LAGOS,LAGOS,OTHERS,40.0,0.0,September,NGN,280000.0
19,TP1092156,SALISU GLOBAL  TRANSPORT,30.0,Open,2020-09-22 17:51:23.429000+00:00,south west,north central,LAGOS,PLATEAU,SUGAR,30.0,0.0,September,NGN,539078.0
